Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
USA,North America,11567414.62566845,5032179,162804.0,7012.617142857142,2469.2303370786517,27.694136204166664,1932.3507853403141,42.45018404907975,327839.0470588235,37174.66849640472
Brazil,South America,11567414.62566845,2917562,98644.0,7012.617142857142,2469.2303370786517,27.694136204166664,1932.3507853403141,42.45018404907975,327839.0470588235,62085.0
India,Asia,11567414.62566845,2025409,41638.0,7012.617142857142,2469.2303370786517,27.694136204166664,1466.0,30.0,327839.0470588235,16035.0
Russia,Europe,11567414.62566845,871894,14606.0,7012.617142857142,2469.2303370786517,27.694136204166664,1520.4991138548096,26.96968222941251,327839.0470588235,37174.66849640472
South Africa,Africa,7241599.935185998,538184,9604.0,7012.617142857142,2469.2303370786517,27.694136204166664,1685.4198167539266,29.07209714306458,327839.0470588235,53044.0
Mexico,North America,11567414.62566845,462690,50517.0,7012.617142857142,2469.2303370786517,27.694136204166664,3585.0,42.45018404907975,174228.7332620321,8189.0
Peru,South America,7241599.935185998,455409,20424.0,7012.617142857142,2469.2303370786517,27.694136204166664,1932.3507853403141,42.45018404907975,327839.0470588235,75521.0
Chile,South America,19132514.0,366671,9889.0,7012.617142857142,1161.3783948635635,27.694136204166664,1932.3507853403141,42.45018404907975,174228.7332620321,92022.0
Colombia,South America,7241599.935185998,357710,11939.0,7012.617142857142,2469.2303370786517,27.694136204166664,1520.4991138548096,29.07209714306458,174228.7332620321,35374.0
Spain,Europe,7241599.935185998,354530,28500.0,3416.9525937749404,900.0553118288609,27.694136204166664,1685.4198167539266,42.45018404907975,327839.0470588235,37174.66849640472
Iran,Asia,11567414.62566845,320117,17976.0,7012.617142857142,2469.2303370786517,27.694136204166664,3806.0,29.07209714306458,327839.0470588235,31068.0
UK,Europe,11567414.62566845,308134,46413.0,3416.9525937749404,900.0553118288609,27.694136204166664,1254.751627225775,42.45018404907975,327839.0470588235,48010.90395480226
Saudi Arabia,Asia,7241599.935185998,284226,3055.0,7012.617142857142,2469.2303370786517,27.694136204166664,1685.4198167539266,88.0,327839.0470588235,32003.329056477993
Pakistan,Asia,11567414.62566845,281863,6035.0,7012.617142857142,2469.2303370786517,27.694136204166664,1274.0,27.0,327839.0470588235,9304.0
Bangladesh,Asia,11567414.62566845,249651,3306.0,7012.617142857142,2469.2303370786517,29.200142513583323,1514.0,20.0,174228.7332620321,7432.0
Italy,Europe,7241599.935185998,249204,35187.0,7012.617142857142,1161.3783948635635,28.590305992532766,4122.0,42.45018404907975,327839.0470588235,33855.74284137664
Turkey,Asia,11567414.62566845,237265,5798.0,7012.617142857142,1161.3783948635635,27.694136204166664,2810.0,69.0,327839.0470588235,60191.0
Argentina,South America,7241599.935185998,228195,4251.0,7012.617142857142,2469.2303370786517,27.694136204166664,1254.751627225775,94.0,174228.7332620321,17564.0
Germany,Europe,11567414.62566845,215210,9252.0,7012.617142857142,1161.3783948635635,29.200142513583327,2568.0,26.96968222941251,327839.0470588235,102452.0
France,Europe,11567414.62566845,195633,30312.0,7012.617142857142,2469.2303370786517,29.200142513583327,2996.0,42.45018404907975,327839.0470588235,61147.0
